Site,Plot,X,Y,TP,Comments,Sex,Pollination,Jun-21-2021,Jun-23-2021,Jun-25-2021,Jun-28-2021,Jun-29-2021,Jun-30-2021,Jul-2-2021,Jul-5-2021,Jul-8-2021,Jul-12-2021,Jul-14-2021,Jul-16-2021,Jul-19-2021,Jul-21-2021,Jul-23-2021,Jul-26-2021
T1,C,0,26,BC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,14,20,RH,,F,,0,0,0,16,,3,6,0,2,1,0,0,0,0,,
T1,C,15,10,GS,,F,,0,0,0,0,,0,0,7,0,0,,,,,,
T1,C,38,59,WC,out,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,48,-14,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,54,5,OH,,H,,0,0,0,4,,0,1,1,0,0,,,,,,
T1,C,60,34,YH,,H,,0,0,0,17,,1,17,16,13,3,1,1,0,0,,
T1,C,70,-18,OS,,H,,0,0,0,1,,0,1,6,7,2,1,1,0,0,,
T1,C,80,-52,YS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,97,48,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,105,40,GH,,H,,0,0,0,0,,0,0,1,1,0,0,,,,,
T1,C,110,17,BH,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,117,52,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,118,10,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,121,-10,BH,TP to left,F,,0,0,0,4,,0,1,0,0,0,,,,,,
T1,C,125,15,YS,,H,,0,0,0,0,,0,1,1,1,0,0,,,,,
T1,C,132,8,GC,R of TPs,,,0,0,0,0,,0,0,0,0,0,0,,,,,
T1,C,139,-10,GH,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,141,16,OH,,F,,0,0,0,10,,0,10,9,4,2,0,0,0,0,,
T1,C,142,-32,WH,,F,,0,0,0,0,,0,B,1,2,0,0,,,,,
T1,C,142,40,GS,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,160,-5,RD,,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,163,-33,YS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,164,-24,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,165,58,WC,out,H,,0,0,0,1,,1,1,0,0,0,,,,,,
T1,C,170,28,BH,,F,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,172,42,OS,,H,,0,0,0,1,,2,3,5,2,0,0,,,,,
T1,C,179,-18,BC,,H,,0,0,0,3,,3,5,11,2,2,0,1,0,0,,
T1,C,192,-58,GD,,F,,0,0,0,3,,0,1,0,0,0,,,,,,
T1,C,202,-25,WC,,,,0,0,0,0,,0,B,0,0,0,,,,,,
T1,C,215,-43,RS,,,,0,0,0,1,,1,1,0,0,0,,,,,,
T1,C,222,-16,OS,!phlox,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,246,40,RH,,H,,0,0,0,9,,8,8,10,4,0,0,,,,,
T1,C,260,0,YC,middle of tape,H,,0,0,0,B,,1,7,4,6,2,1,1,0,0,,0
T1,C,260,35,BD,,H,,0,0,0,0,,0,0,0,0,1,1,1,0,,,
T1,C,264,58,YS,out,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,277,14,OS,,F?,,0,0,0,3,,1,1,2,2,0,0,,,,,
T1,C,321,-29,BH,,H,,0,0,0,6,,1,0,0,0,0,,,,,,
T1,C,336,-19,GH,,H,,0,0,0,2,,2,2,1,1,0,0,,,,,
T1,C,375,7,WH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,377,-31,WH,TP to right,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,410,50,RC,small,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,432,54,BC,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,456,19,OH,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,459,16,BH,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,465,33,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,485,-40,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,511,-6,OS,ST,H,,0,0,0,13,,8,3,2,2,0,,,,,,
T1,C,514,41,BH,,H,,0,0,0,1,,0,2,9,19,10,7,6,7,2,,0
T1,C,564,-41,YH,,H,,0,0,0,11,,18,24,37,26,7,2,1,0,0,,0
T1,C,598,-41,GS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,605,-37,WC,,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,612,-51,BH,,H,,0,0,0,10,,12,19,24,21,17,12,13,6,2,,0
T1,C,659,-15,RH,mostly dead,H,,0,0,0,0,,0,1,0,0,0,,,,,,
T1,C,663,46,YD,,,,0,0,0,B,,0,B,0,B,B,B,B,0,,,
T1,C,667,20,RC,,H,,0,0,0,1,,2,3,4,1,0,0,,,,,
T1,C,673,-36,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,681,-18,YD,TP to right,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,685,32,WC,,F,,0,0,0,1,,0,0,0,0,0,,,,,,
T1,C,690,-24,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,700,28,RH,,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,700,40,BC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,702,-16,RH,,F,,0,0,0,1,,0,3,0,1,1,0,0,0,,,
T1,C,704,21,GD,,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,711,-44,OS,,F,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,720,-11,YS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,743,9,GH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,762,40,OC,DB,H,,0,0,0,1,,0,0,0,0,0,,,,,,
T1,C,788,-45,GD,,H,,0,0,0,4,,7,9,11,2,1,0,0,0,0,,
